Run #   Count     Expected Final  Actual Final

1       10        20              20
2       10        20              20
3       10        20              20
4       10        20              20
5       10        20              20
6       50        100             91
7       50        100             99
8       50        100             100
9       50        100             100
10      50        100             100
11      100       200             200
12      100       200             200
13      100       200             200
14      100       200             200
15      100       200             199
16      500       1000            989
17      500       1000            982
18      500       1000            990
19      500       1000            984
20      500       1000            971
21      1000      2000            1969
22      1000      2000            1957
23      1000      2000            1952
24      1000      2000            1605
25      1000      2000            1963
26      2500      5000            4521
27      2500      5000            4770
28      2500      5000            4618
29      2500      5000            4833
30      2500      5000            4857
/* commented out print statements, seemed to increase error by a HUGE amount.
 replacing print statements fixes this problem, but greatly slows the program */
31      5000      10000           4918
32      5000      10000           4962
33      5000      10000           4992
34      5000      10000           4991
35      5000      10000           5146
36      10000     20000           10179
37      10000     20000           10212
38      10000     20000           9995
39      10000     20000           10633
40      10000     20000           10233
41      25000     50000           24738
42      25000     50000           24431
43      25000     50000           24737
44      25000     50000           25044
45      25000     50000           24928
46      50000     100000          49105
47      50000     100000          50505
48      50000     100000          50633
49      50000     100000          48308
50      50000     100000          48237
51      75000     150000          76325
52      75000     150000          74770
53      75000     150000          74776
54      75000     150000          74105
55      75000     150000          77891
56      100000    200000          98683
57      100000    200000          97787
58      100000    200000          101041
59      100000    200000          100047
60      100000    200000          99238
61      250000    500000          246398
62      250000    500000          236621
63      250000    500000          247126
64      250000    500000          278411
65      250000    500000          255891
66      250000    500000          246386
67      250000    500000          246533
68      250000    500000          247485
69      250000    500000          242606
70      250000    500000          241403
71      500000    1000000         519444
72      500000    1000000         511307
73      500000    1000000         487403
74      500000    1000000         498098
75      500000    1000000         493625
76      500000    1000000         495894
77      500000    1000000         506666
78      500000    1000000         497834
79      500000    1000000         514855
80      500000    1000000         493770
81      750000    1500000         747466
82      750000    1500000         758399
83      750000    1500000         760730
84      750000    1500000         756455
85      750000    1500000         730486
86      750000    1500000         734573
87      750000    1500000         750189
88      750000    1500000         747080
89      750000    1500000         747695
90      750000    1500000         740738
91      1000000   2000000         1012319
92      1000000   2000000         967687
93      1000000   2000000         958343
94      1000000   2000000         1012178
95      1000000   2000000         976154
96      1000000   2000000         992128
97      1000000   2000000         1031868
98      1000000   2000000         1010230
99      1000000   2000000         983007
100     1000000   2000000         974241
