Run #   Count     Expected Final  Actual Final

1       10        20              20
2       10        20              20
3       10        20              20
4       10        20              20
5       10        20              20
6       50        100             100
7       50        100             100
8       50        100             100
9       50        100             100
10      50        100             100
11      100       200             200
12      100       200             200
13      100       200             200
14      100       200             200
15      100       200             200
16      500       1000            1000
17      500       1000            1000
18      500       1000            1000
19      500       1000            1000
20      500       1000            1000
21      1000      2000            2000
22      1000      2000            2000
23      1000      2000            2000
24      1000      2000            2000
25      1000      2000            2000
26      2500      5000            5000
27      2500      5000            5000
28      2500      5000            5000
29      2500      5000            5000
30      2500      5000            5000
31      5000      10000           10000
32      5000      10000           10000
33      5000      10000           10000
34      5000      10000           10000
35      5000      10000           10000
36      10000     20000           20000
37      10000     20000           20000
38      10000     20000           20000
39      10000     20000           20000
40      10000     20000           20000
41      25000     50000           50000
42      25000     50000           50000
43      25000     50000           50000
44      25000     50000           50000
45      25000     50000           50000
46      50000     100000          100000
47      50000     100000          100000
48      50000     100000          100000
49      50000     100000          100000
50      50000     100000          100000
51      75000     150000          150000
52      75000     150000          150000
53      75000     150000          150000
54      75000     150000          150000
55      75000     150000          150000
56      100000    200000          200000
57      100000    200000          200000
58      100000    200000          200000
59      100000    200000          200000
60      100000    200000          200000
61      250000    500000          500000
62      250000    500000          500000
63      250000    500000          500000
64      250000    500000          500000
65      250000    500000          500000
66      250000    500000          500000
67      250000    500000          500000
68      250000    500000          500000
69      250000    500000          500000
70      250000    500000          500000
71      500000    1000000         1000000
72      500000    1000000         1000000
73      500000    1000000         1000000
74      500000    1000000         1000000
75      500000    1000000         1000000
76      500000    1000000         1000000
77      500000    1000000         1000000
78      500000    1000000         1000000
79      500000    1000000         1000000
80      500000    1000000         1000000
81      750000    1500000         1500000
82      750000    1500000         1500000
83      750000    1500000         1500000
84      750000    1500000         1500000
85      750000    1500000         1500000
86      750000    1500000         1500000
87      750000    1500000         1500000
88      750000    1500000         1500000
89      750000    1500000         1500000
90      750000    1500000         1500000
91      1000000   2000000         2000000
92      1000000   2000000         2000000
93      1000000   2000000         2000000
94      1000000   2000000         2000000
95      1000000   2000000         2000000
96      1000000   2000000         2000000
97      1000000   2000000         2000000
98      1000000   2000000         2000000
99      1000000   2000000         2000000
100     1000000   2000000         2000000
